id,area_px,centroid_x,centroid_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,perimeter_px,circularity
1,3305,1164.6441754916793,112.92072617246596,1124,81,1201,142,78,62,227.9655101299286,0.7991771101203182
2,3304,742.7730024213075,129.82838983050848,707,95,776,162,70,68,221.62236428260803,0.8453230967769745
3,6864,579.196386946387,194.1193181818182,510,158,656,235,147,78,378.29141068458557,0.6027457791789841
4,2225,1182.2193258426967,288.15415730337077,1151,267,1215,311,65,45,179.68123877048492,0.8660329445023888
5,6280,1109.6966560509554,293.88216560509557,1053,242,1159,345,107,104,346.8183237314224,0.6560930511833357
6,3664,804.5384825327511,304.9268558951965,768,267,842,341,75,75,244.45079112052917,0.7705173721116809
7,4201,887.0909307307784,313.0980718876458,857,260,913,364,57,105,273.96550965309143,0.7033488186151944
8,7594,309.3862259678694,355.6465630761127,271,279,343,442,73,164,412.0487699508667,0.5620606907497498
9,2338,937.6903336184773,381.41103507271174,908,355,966,409,59,55,183.58073329925537,0.8717664884198963
10,2522,1232.2525773195875,388.5951625693894,1198,364,1265,413,68,50,195.09545302391052,0.8326464809835645
11,4749,1023.4293535481154,392.96694040850707,980,349,1066,438,87,90,286.14927530288696,0.7288308259813835
12,3529,1111.5120430716918,403.7092660810428,1071,372,1152,438,82,67,237.76449811458588,0.7844540432298459
13,7657,874.4951025205694,404.6852553219276,811,342,945,467,135,126,409.6295038461685,0.5734374497498423
14,6639,401.63955414972133,451.6612441632776,326,416,475,487,150,72,377.56348872184753,0.5852380464576485
15,2928,1142.3668032786886,453.218237704918,1107,420,1174,486,68,67,212.10764598846436,0.81783988777921
16,3153,666.058991436727,454.092927370758,635,417,698,490,64,74,223.37972366809845,0.7940472317980938
17,6530,781.7304747320061,457.88882082695255,717,407,854,504,138,98,374.859951376915,0.5839624961122426
18,6352,602.4362405541561,466.7824307304786,550,401,652,529,103,129,365.68838000297546,0.5968951255816365
19,2846,1038.3798313422346,470.83731553056924,1006,438,1073,504,68,67,215.2792181968689,0.771685863698165
20,5412,507.9950110864745,473.6614929785662,451,431,561,512,111,82,309.94826579093933,0.7079282291002628
21,7142,1207.1907028843461,497.15667880145617,1179,408,1236,581,58,174,410.6934325695038,0.5321011453346158
22,2939,356.69615515481456,513.047635250085,315,488,394,541,80,54,217.37972366809845,0.7815763067483613
23,3070,974.8312703583061,513.9563517915309,948,474,1002,552,55,79,220.06601548194885,0.7966036264179387
